ZONE T="first 0", I=  42, F=POINT
 -0.90727   0.00000
 -0.90970  -0.02909
 -0.91583  -0.05573
 -0.92487  -0.08035
 -0.93621  -0.10328
 -0.94941  -0.12480
 -0.96413  -0.14509
 -0.98009  -0.16433
 -0.99712  -0.18264
 -1.01503  -0.20015
 -1.03371  -0.21693
 -1.05305  -0.23307
 -1.07297  -0.24863
 -1.09339  -0.26366
 -1.11426  -0.27822
 -1.13552  -0.29235
 -1.15714  -0.30609
 -1.17908  -0.31945
 -1.20131  -0.33249
 -1.22379  -0.34521
 -1.24651  -0.35765
 -1.26944  -0.36981
 -1.29258  -0.38173
 -1.31589  -0.39342
 -1.33937  -0.40488
 -1.36300  -0.41614
 -1.38678  -0.42721
 -1.41069  -0.43810
 -1.43472  -0.44881
 -1.45886  -0.45937
 -1.48311  -0.46977
 -1.50746  -0.48002
 -1.53191  -0.49014
 -1.55644  -0.50012
 -1.58105  -0.50998
 -1.60575  -0.51972
 -1.63051  -0.52934
 -1.65535  -0.53886
 -1.68025  -0.54828
 -1.70521  -0.55759
 -1.73023  -0.56681
 -1.75530  -0.57593
ZONE T="down **", I= 177, F=POINT
 -1.75615  -0.58124
 -1.73106  -0.57213
 -1.70602  -0.56292
 -1.68105  -0.55362
 -1.65613  -0.54422
 -1.63128  -0.53472
 -1.60649  -0.52512
 -1.58178  -0.51539
 -1.55714  -0.50555
 -1.53258  -0.49559
 -1.50811  -0.48550
 -1.48373  -0.47527
 -1.45945  -0.46489
 -1.43527  -0.45436
 -1.41121  -0.44368
 -1.38726  -0.43282
 -1.36344  -0.42178
 -1.33976  -0.41055
 -1.31623  -0.39912
 -1.29286  -0.38748
 -1.26967  -0.37560
 -1.24666  -0.36348
 -1.22386  -0.35109
 -1.20129  -0.33842
 -1.17896  -0.32544
 -1.15691  -0.31214
 -1.13516  -0.29847
 -1.11375  -0.28442
 -1.09270  -0.26994
 -1.07208  -0.25500
 -1.05192  -0.23954
 -1.03228  -0.22352
 -1.01325  -0.20687
 -0.99489  -0.18952
 -0.97731  -0.17139
 -0.96060  -0.15236
 -0.94488  -0.13232
 -0.93024  -0.11113
 -0.91662  -0.08864
 -0.90788  -0.07286
 -0.90393  -0.06567
 -0.89981  -0.05840
 -0.89690  -0.05354
 -0.89484  -0.05031
 -0.89266  -0.04710
 -0.89112  -0.04499
 -0.88951  -0.04291
 -0.88781  -0.04086
 -0.88602  -0.03886
 -0.88413  -0.03692
 -0.88281  -0.03567
 -0.88144  -0.03444
 -0.88001  -0.03326
 -0.87854  -0.03212
 -0.87702  -0.03102
 -0.87545  -0.02997
 -0.87383  -0.02896
 -0.87216  -0.02800
 -0.87045  -0.02709
 -0.86871  -0.02622
 -0.86692  -0.02540
 -0.86509  -0.02463
 -0.86229  -0.02355
 -0.85943  -0.02256
 -0.85649  -0.02165
 -0.85199  -0.02043
 -0.84737  -0.01935
 -0.84025  -0.01797
 -0.82350  -0.01563
 -0.78276  -0.01254
 -0.75362  -0.01125
 -0.73339  -0.01061
 -0.71259  -0.01008
 -0.69124  -0.00964
 -0.66939  -0.00926
 -0.64709  -0.00895
 -0.62438  -0.00868
 -0.60131  -0.00844
 -0.57791  -0.00824
 -0.55423  -0.00806
 -0.53032  -0.00790
 -0.50622  -0.00776
 -0.48198  -0.00764
 -0.45764  -0.00754
 -0.43324  -0.00745
 -0.40884  -0.00737
 -0.38447  -0.00731
 -0.36018  -0.00725
 -0.33601  -0.00721
 -0.31200  -0.00718
 -0.28819  -0.00716
 -0.26461  -0.00715
 -0.24131  -0.00716
 -0.21830  -0.00718
 -0.19563  -0.00722
 -0.17330  -0.00728
 -0.15134  -0.00737
 -0.12973  -0.00749
 -0.10846  -0.00766
 -0.08749  -0.00790
 -0.06668  -0.00826
 -0.04581  -0.00886
 -0.02429  -0.01005
 -0.00089  -0.01418
  0.01717  -0.02376
  0.03071  -0.03218
  0.04167  -0.03928
  0.05465  -0.04784
  0.06813  -0.05675
  0.07102  -0.05864
  0.07217  -0.05938
  0.07324  -0.06007
  0.07424  -0.06071
  0.07488  -0.06111
  0.07549  -0.06150
  0.07608  -0.06187
  0.07647  -0.06211
  0.07685  -0.06234
  0.07722  -0.06257
  0.07760  -0.06280
  0.07797  -0.06302
  0.07833  -0.06324
  0.07870  -0.06347
  0.07907  -0.06368
  0.07945  -0.06390
  0.07982  -0.06412
  0.08020  -0.06434
  0.08059  -0.06457
  0.08098  -0.06479
  0.08157  -0.06513
  0.08219  -0.06547
  0.08282  -0.06582
  0.08347  -0.06617
  0.08448  -0.06671
  0.08553  -0.06727
  0.08720  -0.06813
  0.08897  -0.06901
  0.09182  -0.07039
  0.09652  -0.07254
  0.10878  -0.07761
  0.12305  -0.08280
  0.13896  -0.08790
  0.15623  -0.09283
  0.17464  -0.09753
  0.19400  -0.10196
  0.21417  -0.10611
  0.23504  -0.10999
  0.25651  -0.11359
  0.27849  -0.11692
  0.30093  -0.12000
  0.32377  -0.12282
  0.34696  -0.12542
  0.37046  -0.12779
  0.39424  -0.12994
  0.41826  -0.13190
  0.44251  -0.13366
  0.46696  -0.13524
  0.49159  -0.13664
  0.51639  -0.13789
  0.54134  -0.13897
  0.56642  -0.13990
  0.59163  -0.14070
  0.61695  -0.14135
  0.64237  -0.14188
  0.66790  -0.14229
  0.69351  -0.14257
  0.71920  -0.14274
  0.74497  -0.14281
  0.77081  -0.14277
  0.79671  -0.14263
  0.82268  -0.14240
  0.84870  -0.14207
  0.87478  -0.14166
  0.90090  -0.14116
  0.92707  -0.14058
  0.95328  -0.13992
  0.97954  -0.13919
ZONE T="down **", I= 218, F=POINT
 -1.75400  -0.57078
 -1.72894  -0.56164
 -1.70393  -0.55240
 -1.67899  -0.54308
 -1.65411  -0.53365
 -1.62929  -0.52411
 -1.60454  -0.51447
 -1.57987  -0.50471
 -1.55528  -0.49483
 -1.53077  -0.48483
 -1.50635  -0.47469
 -1.48203  -0.46441
 -1.45781  -0.45399
 -1.43370  -0.44341
 -1.40971  -0.43267
 -1.38584  -0.42175
 -1.36211  -0.41065
 -1.33852  -0.39936
 -1.31509  -0.38786
 -1.29184  -0.37613
 -1.26877  -0.36418
 -1.24591  -0.35196
 -1.22327  -0.33948
 -1.20087  -0.32671
 -1.17875  -0.31362
 -1.15693  -0.30019
 -1.13544  -0.28638
 -1.11433  -0.27218
 -1.09364  -0.25754
 -1.07343  -0.24241
 -1.05376  -0.22675
 -1.03472  -0.21050
 -1.01641  -0.19359
 -0.99896  -0.17594
 -0.98252  -0.15746
 -0.96733  -0.13803
 -0.95369  -0.11752
 -0.94207  -0.09577
 -0.93584  -0.08050
 -0.93259  -0.06994
 -0.93095  -0.06275
 -0.92982  -0.05544
 -0.92942  -0.05052
 -0.92936  -0.04559
 -0.92954  -0.04230
 -0.92993  -0.03904
 -0.93031  -0.03688
 -0.93080  -0.03475
 -0.93141  -0.03266
 -0.93213  -0.03061
 -0.93269  -0.02928
 -0.93330  -0.02797
 -0.93397  -0.02670
 -0.93469  -0.02546
 -0.93546  -0.02427
 -0.93629  -0.02311
 -0.93717  -0.02201
