ZONE T="first 0", I=  57, F=POINT
 -0.90727   0.00000
 -0.90749  -0.00892
 -0.90811  -0.01758
 -0.90910  -0.02601
 -0.91043  -0.03422
 -0.91208  -0.04223
 -0.91402  -0.05004
 -0.91623  -0.05766
 -0.91869  -0.06511
 -0.92139  -0.07239
 -0.92430  -0.07952
 -0.92741  -0.08650
 -0.93072  -0.09334
 -0.93420  -0.10004
 -0.93786  -0.10662
 -0.94167  -0.11307
 -0.94766  -0.12254
 -0.95395  -0.13176
 -0.96053  -0.14075
 -0.96736  -0.14953
 -0.97443  -0.15810
 -0.98172  -0.16649
 -0.99303  -0.17873
 -1.00475  -0.19060
 -1.01685  -0.20213
 -1.02928  -0.21334
 -1.04848  -0.22962
 -1.06828  -0.24530
 -1.08859  -0.26045
 -1.10937  -0.27511
 -1.13055  -0.28933
 -1.15210  -0.30315
 -1.17397  -0.31660
 -1.19613  -0.32970
 -1.21856  -0.34249
 -1.24123  -0.35499
 -1.26412  -0.36722
 -1.28721  -0.37919
 -1.31048  -0.39092
 -1.33393  -0.40244
 -1.35753  -0.41374
 -1.38127  -0.42485
 -1.40515  -0.43578
 -1.42916  -0.44653
 -1.45328  -0.45712
 -1.47750  -0.46755
 -1.50183  -0.47784
 -1.52626  -0.48798
 -1.55077  -0.49800
 -1.57537  -0.50788
 -1.60004  -0.51765
 -1.62479  -0.52730
 -1.64961  -0.53684
 -1.67450  -0.54628
 -1.69945  -0.55561
 -1.72445  -0.56485
 -1.74952  -0.57400
ZONE T="0     1", I= 258, F=POINT
 -1.76155  -0.54992
 -1.76152  -0.54991
 -1.73650  -0.54075
 -1.71154  -0.53149
 -1.68664  -0.52214
 -1.66181  -0.51269
 -1.63705  -0.50313
 -1.61236  -0.49346
 -1.58775  -0.48368
 -1.56323  -0.47377
 -1.53879  -0.46373
 -1.51445  -0.45356
 -1.49022  -0.44325
 -1.46609  -0.43279
 -1.44209  -0.42217
 -1.41821  -0.41138
 -1.39446  -0.40042
 -1.37087  -0.38927
 -1.34743  -0.37793
 -1.32418  -0.36637
 -1.30111  -0.35458
 -1.27825  -0.34255
 -1.25563  -0.33027
 -1.23326  -0.31771
 -1.21117  -0.30485
 -1.18939  -0.29167
 -1.16797  -0.27814
 -1.14694  -0.26423
 -1.12637  -0.24990
 -1.10631  -0.23513
 -1.08685  -0.21987
 -1.06809  -0.20406
 -1.05015  -0.18766
 -1.03874  -0.17636
 -1.02783  -0.16475
 -1.01750  -0.15281
 -1.01099  -0.14465
 -1.00481  -0.13634
 -0.99901  -0.12786
 -0.99363  -0.11922
 -0.99031  -0.11337
 -0.98723  -0.10745
 -0.98440  -0.10146
 -0.98186  -0.09542
 -0.97963  -0.08932
 -0.97834  -0.08524
 -0.97720  -0.08114
 -0.97624  -0.07704
 -0.97546  -0.07295
 -0.97488  -0.06887
 -0.97449  -0.06482
 -0.97435  -0.06214
 -0.97431  -0.05948
 -0.97436  -0.05685
 -0.97451  -0.05425
 -0.97476  -0.05169
 -0.97510  -0.04917
 -0.97554  -0.04671
 -0.97606  -0.04430
 -0.97668  -0.04195
 -0.97737  -0.03966
 -0.97815  -0.03744
 -0.97899  -0.03530
 -0.97989  -0.03323
 -0.98084  -0.03124
 -0.98184  -0.02932
 -0.98288  -0.02749
 -0.98394  -0.02573
 -0.98502  -0.02406
 -0.98666  -0.02168
 -0.98830  -0.01947
 -0.99071  -0.01643
 -0.99561  -0.01073
 -0.99823  -0.00760
 -0.99918  -0.00636
 -1.00000  -0.00520
 -1.00047  -0.00447
 -1.00074  -0.00400
 -1.00099  -0.00354
 -1.00120  -0.00309
 -1.00133  -0.00280
 -1.00144  -0.00252
 -1.00154  -0.00224
 -1.00163  -0.00196
 -1.00170  -0.00169
 -1.00175  -0.00143
 -1.00178  -0.00125
 -1.00181  -0.00108
 -1.00182  -0.00091
 -1.00184  -0.00074
 -1.00184  -0.00058
 -1.00184  -0.00041
 -1.00183  -0.00025
 -1.00181  -0.00009
 -1.00179   0.00007
 -1.00176   0.00022
 -1.00173   0.00038
 -1.00169   0.00053
 -1.00164   0.00068
 -1.00158   0.00083
 -1.00152   0.00098
 -1.00145   0.00113
 -1.00138   0.00127
 -1.00130   0.00142
 -1.00121   0.00156
 -1.00111   0.00170
 -1.00101   0.00184
 -1.00090   0.00197
 -1.00078   0.00211
 -1.00066   0.00224
 -1.00053   0.00238
 -1.00040   0.00251
 -1.00025   0.00264
 -1.00010   0.00277
 -0.99995   0.00289
 -0.99978   0.00302
 -0.99952   0.00321
 -0.99925   0.00339
 -0.99896   0.00357
 -0.99865   0.00375
 -0.99833   0.00392
 -0.99799   0.00410
 -0.99745   0.00435
 -0.99688   0.00460
 -0.99627   0.00484
 -0.99563   0.00508
 -0.99460   0.00543
 -0.99348   0.00577
 -0.99229   0.00609
 -0.99034   0.00656
 -0.98821   0.00701
 -0.98467   0.00765
 -0.98072   0.00824
 -0.97402   0.00907
 -0.96639   0.00983
 -0.95784   0.01052
 -0.94839   0.01115
 -0.93804   0.01174
 -0.92682   0.01228
 -0.91473   0.01278
 -0.90180   0.01324
 -0.88806   0.01367
 -0.87352   0.01407
 -0.85821   0.01445
 -0.84216   0.01480
 -0.82539   0.01512
 -0.80794   0.01543
 -0.78984   0.01572
 -0.77113   0.01599
 -0.75184   0.01624
 -0.73199   0.01647
 -0.71165   0.01670
 -0.69083   0.01690
 -0.66958   0.01710
 -0.64795   0.01728
 -0.62597   0.01745
 -0.60368   0.01761
 -0.58113   0.01776
 -0.55836   0.01790
 -0.53542   0.01803
 -0.51235   0.01815
 -0.48919   0.01825
 -0.46599   0.01835
 -0.44280   0.01844
 -0.41966   0.01852
 -0.39661   0.01858
 -0.37370   0.01864
 -0.35098   0.01869
 -0.32850   0.01872
 -0.30628   0.01874
 -0.28439   0.01875
 -0.26286   0.01875
 -0.24174   0.01873
 -0.22107   0.01870
 -0.20090   0.01864
 -0.18126   0.01857
 -0.16220   0.01848
 -0.14376   0.01836
 -0.12598   0.01820
 -0.10890   0.01802
 -0.09258   0.01779
 -0.07704   0.01751
 -0.06234   0.01716
 -0.04853   0.01672
 -0.03566   0.01616
 -0.02380   0.01543
 -0.01301   0.01442
 -0.00645   0.01350
 -0.00234   0.01273
  0.00029   0.01212
  0.00285   0.01144
  0.00535   0.01068
  0.00780   0.00983
  0.01022   0.00891
  0.01381   0.00741
  0.01736   0.00579
  0.02265   0.00320
  0.03432  -0.00300
  0.05092  -0.01230
  0.06596  -0.02081
  0.07208  -0.02422
  0.07787  -0.02740
  0.08158  -0.02939
  0.08518  -0.03128
  0.08753  -0.03251
  0.08986  -0.03369
  0.09218  -0.03485
  0.09449  -0.03599
  0.09680  -0.03711
  0.09913  -0.03821
  0.10148  -0.03930
  0.10386  -0.04038
  0.10628  -0.04145
  0.10875  -0.04252
  0.11126  -0.04358
  0.11382  -0.04464
  0.11644  -0.04569
  0.12047  -0.04727
  0.12463  -0.04884
  0.12892  -0.05040
  0.13559  -0.05272
  0.14255  -0.05502
  0.15348  -0.05840
  0.16497  -0.06169
  0.18314  -0.06642
  0.20229  -0.07089
  0.22227  -0.07508
  0.24298  -0.07899
  0.26431  -0.08262
  0.28618  -0.08598
  0.30853  -0.08909
  0.33128  -0.09194
  0.35440  -0.09456
  0.37785  -0.09695
  0.40158  -0.09912
  0.42557  -0.10110
  0.44978  -0.10287
  0.47420  -0.10447
  0.49881  -0.10589
  0.52359  -0.10714
  0.54852  -0.10823
  0.57359  -0.10917
  0.59879  -0.10997
  0.62410  -0.11064
  0.64952  -0.11117
  0.67504  -0.11158
  0.70064  -0.11187
  0.72634  -0.11204
  0.75210  -0.11211
  0.77794  -0.11208
  0.80385  -0.11194
  0.82981  -0.11171
  0.85584  -0.11138
  0.88191  -0.11097
  0.90804  -0.11047
  0.93421  -0.10989
  0.96042  -0.10923
  0.98668  -0.10850
ZONE T="1     2", I= 213, F=POINT
 -1.77311  -0.52559
 -1.77308  -0.52558
 -1.74810  -0.51641
 -1.72318  -0.50715
 -1.69833  -0.49778
 -1.67355  -0.48832
 -1.64884  -0.47875
 -1.62421  -0.46906
 -1.59966  -0.45926
 -1.57521  -0.44934
 -1.55085  -0.43928
 -1.52659  -0.42910
 -1.50244  -0.41876
 -1.47841  -0.40828
 -1.45451  -0.39764
 -1.43075  -0.38683
 -1.40713  -0.37584
 -1.38368  -0.36467
 -1.36040  -0.35329
 -1.33731  -0.34170
 -1.31444  -0.32989
 -1.29180  -0.31783
 -1.26941  -0.30551
 -1.24731  -0.29291
 -1.22553  -0.28002
 -1.20410  -0.26680
 -1.18308  -0.25324
 -1.16251  -0.23930
 -1.14248  -0.22495
 -1.12304  -0.21017
 -1.10432  -0.19490
 -1.08644  -0.17913
 -1.06955  -0.16281
 -1.05895  -0.15160
 -1.04896  -0.14014
 -1.04269  -0.13235
 -1.03677  -0.12445
 -1.03122  -0.11644
 -1.02610  -0.10834
 -1.02143  -0.10015
 -1.01860  -0.09466
 -1.01601  -0.08915
 -1.01368  -0.08364
 -1.01160  -0.07814
 -1.00981  -0.07266
 -1.00830  -0.06722
 -1.00707  -0.06186
 -1.00614  -0.05658
 -1.00548  -0.05143
 -1.00509  -0.04642
 -1.00495  -0.04158
 -1.00501  -0.03694
 -1.00525  -0.03250
 -1.00561  -0.02830
 -1.00607  -0.02433
 -1.00680  -0.01882
 -1.00746  -0.01384
 -1.00779  -0.01080
 -1.00798  -0.00796
 -1.00801  -0.00618
 -1.00798  -0.00504
 -1.00792  -0.00393
 -1.00781  -0.00286
 -1.00766  -0.00182
 -1.00753  -0.00115
 -1.00738  -0.00049
 -1.00721   0.00016
 -1.00701   0.00079
 -1.00680   0.00141
 -1.00655   0.00202
 -1.00629   0.00261
 -1.00600   0.00320
 -1.00568   0.00377
 -1.00534   0.00433
 -1.00498   0.00487
 -1.00459   0.00541
 -1.00417   0.00594
 -1.00372   0.00645
 -1.00325   0.00696
 -1.00275   0.00745
 -1.00222   0.00794
 -1.00166   0.00842
 -1.00108   0.00888
 -1.00046   0.00934
 -0.99982   0.00979
 -0.99915   0.01023
 -0.99845   0.01066
 -0.99772   0.01109
 -0.99656   0.01171
 -0.99534   0.01232
 -0.99406   0.01291
 -0.99270   0.01348
 -0.99127   0.01404
 -0.98900   0.01484
 -0.98657   0.01562
 -0.98398   0.01637
 -0.97980   0.01744
 -0.97525   0.01844
 -0.96775   0.01986
 -0.95943   0.02116
 -0.95029   0.02236
 -0.94034   0.02348
 -0.92959   0.02452
 -0.91804   0.02548
 -0.90572   0.02638
 -0.89263   0.02721
 -0.87880   0.02800
 -0.86425   0.02873
 -0.84900   0.02942
 -0.83307   0.03006
 -0.81648   0.03067
 -0.79928   0.03124
 -0.78148   0.03177
 -0.76311   0.03227
 -0.74421   0.03275
 -0.72482   0.03319
 -0.70495   0.03361
 -0.68466   0.03400
 -0.66398   0.03437
 -0.64294   0.03472
 -0.62158   0.03505
 -0.59994   0.03535
 -0.57807   0.03564
 -0.55599   0.03590
 -0.53376   0.03615
 -0.51140   0.03637
 -0.48898   0.03658
 -0.46651   0.03677
 -0.44406   0.03694
 -0.42165   0.03709
 -0.39933   0.03722
 -0.37715   0.03734
 -0.35513   0.03743
 -0.33334   0.03750
 -0.31179   0.03755
 -0.29054   0.03758
 -0.26963   0.03758
 -0.24909   0.03756
 -0.22897   0.03750
 -0.20929   0.03742
 -0.19010   0.03730
 -0.17144   0.03714
 -0.15334   0.03694
 -0.13583   0.03669
 -0.11895   0.03639
 -0.10274   0.03601
 -0.08721   0.03556
 -0.07241   0.03502
 -0.05837   0.03435
 -0.04510   0.03355
 -0.03263   0.03255
 -0.02097   0.03132
 -0.01009   0.02978
 -0.00325   0.02854
  0.00330   0.02712
  0.00960   0.02549
  0.01570   0.02368
  0.02162   0.02171
  0.03025   0.01852
  0.04271   0.01343
  0.06037   0.00566
  0.07147   0.00068
  0.07860  -0.00250
  0.08554  -0.00555
  0.09234  -0.00848
  0.09682  -0.01037
  0.10128  -0.01221
  0.10572  -0.01401
  0.11018  -0.01577
  0.11466  -0.01749
  0.11918  -0.01919
  0.12374  -0.02085
  0.12837  -0.02249
  0.13307  -0.02411
  0.13784  -0.02570
  0.14269  -0.02727
  0.15011  -0.02958
  0.15773  -0.03185
  0.16554  -0.03406
  0.17760  -0.03728
  0.19006  -0.04039
  0.20946  -0.04482
  0.22962  -0.04897
  0.25045  -0.05283
  0.27187  -0.05643
  0.29381  -0.05976
  0.31621  -0.06283
  0.33901  -0.06566
  0.36217  -0.06825
  0.38565  -0.07061
  0.40940  -0.07276
  0.43342  -0.07471
  0.45765  -0.07647
  0.48210  -0.07804
  0.50673  -0.07944
  0.53152  -0.08068
  0.55647  -0.08175
  0.58156  -0.08268
  0.60677  -0.08346
  0.63209  -0.08411
  0.65753  -0.08463
  0.68306  -0.08502
  0.70868  -0.08530
  0.73438  -0.08546
  0.76016  -0.08552
  0.78601  -0.08547
  0.81193  -0.08532
  0.83790  -0.08507
  0.86393  -0.08474
  0.89002  -0.08431
  0.91616  -0.08380
  0.94234  -0.08321
  0.96856  -0.08254
ZONE T="2     3", I= 188, F=POINT
 -1.78413  -0.50106
 -1.78411  -0.50105
 -1.75917  -0.49187
 -1.73429  -0.48260
 -1.70948  -0.47323
 -1.68475  -0.46375
 -1.66009  -0.45417
 -1.63552  -0.44448
 -1.61103  -0.43466
 -1.58664  -0.42473
 -1.56235  -0.41466
 -1.53817  -0.40446
 -1.51410  -0.39412
 -1.49016  -0.38362
 -1.46636  -0.37296
 -1.44270  -0.36214
 -1.41920  -0.35114
 -1.39587  -0.33995
 -1.37273  -0.32856
 -1.34980  -0.31696
 -1.32710  -0.30513
 -1.30465  -0.29306
 -1.28248  -0.28073
 -1.26062  -0.26813
 -1.23911  -0.25523
 -1.21799  -0.24202
 -1.19731  -0.22847
 -1.17714  -0.21456
 -1.15755  -0.20026
 -1.13863  -0.18555
 -1.12049  -0.17040
 -1.10327  -0.15480
 -1.09239  -0.14415
 -1.08205  -0.13329
 -1.07232  -0.12223
 -1.06328  -0.11100
 -1.05767  -0.10343
 -1.05243  -0.09580
 -1.04758  -0.08815
 -1.04315  -0.08049
 -1.03914  -0.07284
 -1.03559  -0.06526
 -1.03248  -0.05778
 -1.02981  -0.05045
 -1.02756  -0.04332
 -1.02566  -0.03645
 -1.02407  -0.02988
 -1.02269  -0.02364
 -1.02143  -0.01778
 -1.02020  -0.01229
 -1.01887  -0.00719
 -1.01789  -0.00401
 -1.01718  -0.00197
 -1.01641  -0.00001
 -1.01558   0.00188
 -1.01467   0.00371
 -1.01403   0.00489
 -1.01334   0.00604
 -1.01262   0.00716
 -1.01186   0.00826
 -1.01106   0.00933
 -1.01021   0.01037
 -1.00932   0.01139
 -1.00839   0.01238
 -1.00740   0.01335
 -1.00637   0.01430
 -1.00528   0.01522
 -1.00415   0.01612
 -1.00296   0.01700
 -1.00172   0.01786
 -1.00043   0.01870
 -0.99908   0.01951
