ZONE T="first 0", I=  42, F=POINT
 -0.68393  -0.72954
 -0.75309  -0.80177
 -0.82303  -0.87325
 -0.89394  -0.94376
 -0.96580  -1.01331
 -1.03853  -1.08193
 -1.11210  -1.14967
 -1.18644  -1.21655
 -1.26150  -1.28262
 -1.33725  -1.34791
 -1.41363  -1.41246
 -1.49059  -1.47630
 -1.56812  -1.53947
 -1.64616  -1.60200
 -1.72468  -1.66391
 -1.80367  -1.72525
 -1.88308  -1.78602
 -1.96289  -1.84627
 -2.04309  -1.90601
 -2.12364  -1.96526
 -2.20454  -2.02405
 -2.28575  -2.08240
 -2.36727  -2.14032
 -2.44907  -2.19784
 -2.53115  -2.25497
 -2.61348  -2.31172
 -2.69606  -2.36811
 -2.77888  -2.42416
 -2.86192  -2.47988
 -2.94517  -2.53528
 -3.02863  -2.59037
 -3.11228  -2.64516
 -3.19612  -2.69967
 -3.28013  -2.75391
 -3.36432  -2.80788
 -3.44867  -2.86159
 -3.53317  -2.91506
 -3.61783  -2.96829
 -3.70263  -3.02128
 -3.78757  -3.07406
 -3.87265  -3.12662
 -3.95785  -3.17896
ZONE T="0     1", I= 184, F=POINT
 -4.02063  -3.09918
 -3.93553  -3.04666
 -3.85057  -2.99392
 -3.76575  -2.94096
 -3.68108  -2.88775
 -3.59656  -2.83431
 -3.51220  -2.78061
 -3.42801  -2.72664
 -3.34400  -2.67241
 -3.26017  -2.61788
 -3.17653  -2.56306
 -3.09310  -2.50793
 -3.00988  -2.45248
 -2.92689  -2.39670
 -2.84413  -2.34056
 -2.76163  -2.28405
 -2.67939  -2.22715
 -2.59744  -2.16985
 -2.51578  -2.11213
 -2.43445  -2.05395
 -2.35346  -1.99530
 -2.27283  -1.93614
 -2.19260  -1.87645
 -2.11280  -1.81618
 -2.03346  -1.75531
 -1.95463  -1.69378
 -1.87637  -1.63154
 -1.79872  -1.56852
 -1.72177  -1.50465
 -1.64561  -1.43985
 -1.57037  -1.37398
 -1.49621  -1.30690
 -1.42334  -1.23841
 -1.35211  -1.16822
 -1.28299  -1.09595
 -1.21679  -1.02100
 -1.17496  -0.96910
 -1.14845  -0.93342
 -1.12334  -0.89675
 -1.10756  -0.87167
 -1.09269  -0.84605
 -1.07887  -0.81984
 -1.06627  -0.79302
 -1.05864  -0.77480
 -1.05169  -0.75631
 -1.04545  -0.73757
 -1.03997  -0.71859
 -1.03527  -0.69940
 -1.03138  -0.68004
 -1.02829  -0.66053
 -1.02598  -0.64091
 -1.02442  -0.62122
 -1.02355  -0.60148
 -1.02331  -0.58173
 -1.02364  -0.56198
 -1.02505  -0.53239
 -1.02733  -0.50284
 -1.03193  -0.45864
 -1.04461  -0.35945
 -1.05598  -0.26009
 -1.06130  -0.19364
 -1.06414  -0.12703
 -1.06409  -0.06037
 -1.06086   0.00622
 -1.05683   0.05048
 -1.05124   0.09457
 -1.04406   0.13843
 -1.03526   0.18200
 -1.02483   0.22520
 -1.01274   0.26797
 -0.99901   0.31024
 -0.98362   0.35194
 -0.96660   0.39299
 -0.94794   0.43333
 -0.92768   0.47289
 -0.90584   0.51159
 -0.88243   0.54938
 -0.85751   0.58617
 -0.83109   0.62191
 -0.80322   0.65653
 -0.77394   0.68997
 -0.74330   0.72217
 -0.71136   0.75307
 -0.67815   0.78261
 -0.64374   0.81074
 -0.60819   0.83741
 -0.57155   0.86257
 -0.53389   0.88617
 -0.49528   0.90818
 -0.45578   0.92855
 -0.41546   0.94725
 -0.37439   0.96424
 -0.33264   0.97949
 -0.29029   0.99298
 -0.24742   1.00469
 -0.20409   1.01459
 -0.16039   1.02267
 -0.11639   1.02892
 -0.07216   1.03333
 -0.02779   1.03589
  0.01665   1.03661
  0.06108   1.03548
  0.10542   1.03252
  0.14961   1.02773
  0.19356   1.02113
  0.23721   1.01273
  0.28047   1.00257
  0.32329   0.99066
  0.36559   0.97703
  0.40732   0.96172
  0.44840   0.94477
  0.48879   0.92621
  0.52842   0.90610
  0.56725   0.88447
  0.60523   0.86139
  0.64233   0.83692
  0.67851   0.81111
  0.71376   0.78403
  0.74805   0.75576
  0.78139   0.72637
  0.81379   0.69595
  0.84529   0.66459
  0.87592   0.63239
  0.92046   0.58278
  0.98493   0.50634
  1.04887   0.42945
  1.07826   0.39611
  1.10888   0.36390
  1.13025   0.34338
  1.15252   0.32383
  1.16791   0.31146
  1.18377   0.29967
  1.20007   0.28852
  1.21682   0.27805
  1.23399   0.26829
  1.25155   0.25924
  1.26946   0.25091
